Correctness Check:
Insertion: [1, 2, 5, 5, 6, 9]
Merge: [1, 2, 5, 5, 6, 9]
Quick: [1, 2, 5, 5, 6, 9]

Performance Table (Time in ms)

Size | Type | Insertion | Merge | Quick
--------------------------------------------------
1000 | Random | 50.579 | 6.665 | 3.677
1000 | Sorted | 0.381 | 4.403 | 170.565
1000 | Reverse | 135.339 | 5.745 | 106.467
5000 | Random | 1491.624 | 30.782 | 12.51
5000 | Sorted | 1.301 | 18.842 | 1865.786
5000 | Reverse | 1651.481 | 12.062 | 1241.105
10000 | Random | 3517.779 | 51.639 | 25.455
10000 | Sorted | 2.601 | 28.1 | 7402.617
10000 | Reverse | 6030.699 | 23.414 | 4509.773
